locationTime,accumulated_usage
2024-10-07 01:45:00,222578.0
2024-10-07 01:46:00,222578.5
2024-10-07 01:47:00,222579.0
2024-10-07 01:48:00,222579.5
2024-10-07 01:49:00,222580.0
2024-10-07 01:50:00,222581.0
2024-10-07 01:51:00,222581.5
2024-10-07 01:52:00,222582.0
2024-10-07 01:53:00,222582.5
2024-10-07 01:54:00,222583.0
2024-10-07 01:55:00,222583.5
2024-10-07 01:56:00,222584.5
2024-10-07 01:57:00,222585.0
2024-10-07 01:58:00,222585.5
2024-10-07 01:59:00,222587.0
2024-10-07 02:00:00,222587.5
2024-10-07 02:01:00,222587.5
2024-10-07 07:16:00,222588.0
2024-10-07 07:17:00,222588.0
2024-10-07 07:18:00,222588.0
2024-10-07 07:19:00,222588.5
2024-10-07 07:20:00,222588.5
2024-10-07 07:21:00,222589.0
2024-10-07 07:22:00,222590.5
2024-10-07 07:23:00,222592.0
2024-10-07 07:24:00,222594.0
2024-10-07 07:25:00,222595.5
2024-10-07 07:26:00,222598.0
2024-10-07 07:27:00,222599.5
2024-10-07 07:28:00,222600.5
2024-10-07 07:29:00,222601.0
2024-10-07 07:30:00,222601.5
2024-10-07 07:31:00,222602.0
2024-10-07 07:32:00,222602.5
2024-10-07 07:33:00,222603.0
2024-10-07 07:34:00,222604.0
2024-10-07 07:35:00,222604.0
2024-10-07 07:36:00,222605.5
2024-10-07 07:37:00,222606.5
2024-10-07 07:38:00,222608.0
2024-10-07 07:39:00,222609.0
2024-10-07 07:40:00,222610.0
2024-10-07 07:41:00,222610.5
2024-10-07 07:42:00,222611.5
2024-10-07 07:43:00,222611.5
2024-10-07 07:44:00,222612.5
2024-10-07 07:45:00,222613.0
2024-10-07 07:46:00,222614.0
2024-10-07 07:47:00,222614.0
2024-10-07 07:48:00,222614.5
2024-10-07 07:49:00,222615.0
2024-10-07 07:50:00,222615.0
2024-10-07 07:51:00,222615.0
2024-10-07 07:52:00,222615.5
2024-10-07 07:53:00,222616.0
2024-10-07 07:54:00,222616.5
2024-10-07 07:55:00,222616.5
2024-10-07 07:56:00,222616.5
2024-10-07 07:57:00,222617.0
2024-10-07 07:58:00,222617.0
2024-10-07 07:59:00,222617.0
2024-10-07 08:00:00,222617.0
2024-10-07 08:01:00,222617.0
2024-10-07 08:02:00,222618.0
2024-10-07 08:03:00,222618.0
2024-10-07 08:04:00,222618.0
2024-10-07 08:05:00,222618.0
2024-10-07 08:06:00,222618.5
2024-10-07 08:07:00,222619.0
2024-10-07 08:08:00,222619.5
2024-10-07 08:09:00,222620.0
2024-10-07 08:10:00,222620.5
2024-10-07 08:11:00,222621.5
2024-10-07 08:12:00,222621.5
2024-10-07 08:13:00,222622.5
2024-10-07 08:14:00,222623.5
2024-10-07 08:15:00,222624.0
2024-10-07 08:16:00,222624.5
2024-10-07 08:17:00,222625.0
2024-10-07 08:18:00,222625.5
2024-10-07 08:19:00,222626.0
2024-10-07 08:20:00,222627.0
2024-10-07 08:21:00,222627.0
2024-10-07 08:22:00,222627.5
2024-10-07 08:23:00,222627.5
2024-10-07 08:24:00,222627.5
2024-10-07 08:25:00,222627.5
2024-10-07 08:26:00,222628.0
2024-10-07 08:27:00,222628.0
2024-10-07 08:28:00,222628.0
2024-10-07 08:29:00,222628.0
2024-10-07 08:30:00,222628.5
2024-10-07 08:31:00,222628.5
2024-10-07 08:32:00,222628.5
2024-10-07 08:33:00,222628.5
2024-10-07 08:34:00,222629.0
2024-10-07 08:35:00,222629.0
2024-10-07 08:36:00,222629.0
2024-10-07 08:37:00,222629.5
2024-10-07 08:38:00,222629.5
2024-10-07 08:39:00,222629.5
2024-10-07 08:40:00,222630.0
2024-10-07 08:41:00,222630.5
2024-10-07 08:42:00,222631.0
2024-10-07 08:43:00,222631.0
2024-10-07 08:44:00,222631.5
2024-10-07 08:45:00,222632.0
2024-10-07 08:46:00,222632.5
2024-10-07 08:47:00,222633.0
2024-10-07 08:48:00,222633.0
2024-10-07 08:49:00,222633.5
2024-10-07 08:50:00,222633.5
2024-10-07 09:39:00,222633.5
2024-10-07 09:40:00,222633.5
2024-10-07 09:41:00,222633.5
2024-10-07 09:42:00,222633.5
2024-10-07 09:43:00,222633.5
2024-10-07 09:44:00,222633.5
2024-10-07 09:45:00,222633.5
2024-10-07 09:46:00,222633.5
2024-10-07 09:47:00,222633.5
2024-10-07 09:48:00,222633.5
2024-10-07 09:49:00,222633.5
2024-10-07 09:50:00,222633.5
2024-10-07 09:51:00,222633.5
2024-10-07 09:52:00,222633.5
2024-10-07 09:53:00,222633.5
2024-10-07 09:54:00,222633.5
2024-10-07 09:55:00,222633.5
2024-10-07 09:56:00,222633.5
2024-10-07 09:57:00,222633.5
2024-10-07 09:58:00,222633.5
2024-10-07 09:59:00,222633.5
2024-10-07 10:00:00,222633.5
2024-10-07 10:01:00,222633.5
2024-10-07 10:02:00,222633.5
2024-10-07 10:03:00,222633.5
2024-10-07 10:04:00,222633.5
2024-10-07 10:05:00,222633.5
2024-10-07 10:06:00,222633.5
2024-10-07 10:07:00,222633.5
2024-10-07 10:08:00,222633.5
2024-10-07 10:09:00,222633.5
2024-10-07 11:36:00,222634.0
2024-10-07 11:37:00,222634.0
2024-10-07 11:38:00,222634.0
2024-10-07 11:39:00,222634.0
2024-10-07 11:40:00,222634.0
2024-10-07 11:44:00,222634.0
2024-10-07 11:45:00,222634.0
2024-10-07 11:46:00,222634.0
2024-10-07 11:47:00,222634.0
2024-10-07 11:48:00,222634.0
2024-10-07 11:49:00,222634.0
2024-10-07 11:50:00,222634.0
2024-10-07 11:51:00,222634.0
2024-10-07 11:52:00,222634.5
2024-10-07 11:53:00,222634.5
2024-10-07 11:54:00,222634.5
2024-10-07 11:55:00,222635.0
2024-10-07 12:01:00,222635.0
2024-10-07 12:02:00,222635.0
2024-10-07 12:03:00,222635.5
2024-10-07 12:04:00,222635.5
2024-10-07 12:05:00,222635.5
2024-10-07 12:06:00,222635.5
2024-10-07 12:07:00,222636.0
2024-10-07 12:08:00,222636.0
2024-10-07 12:09:00,222636.0
2024-10-07 12:10:00,222636.0
2024-10-07 12:11:00,222636.5
2024-10-07 12:12:00,222636.5
2024-10-07 12:13:00,222636.5
2024-10-07 12:14:00,222636.5
2024-10-07 12:15:00,222637.0
2024-10-07 12:16:00,222637.0
2024-10-07 12:25:00,222637.0
2024-10-07 12:26:00,222637.0
2024-10-07 12:27:00,222637.5
2024-10-07 12:32:00,222637.5
2024-10-07 12:33:00,222638.0
2024-10-07 12:34:00,222638.0
2024-10-07 12:35:00,222638.0
2024-10-07 12:36:00,222638.0
2024-10-07 12:37:00,222638.0
2024-10-07 12:38:00,222638.0
2024-10-07 12:39:00,222638.0
2024-10-07 12:40:00,222638.0
2024-10-07 12:41:00,222638.0
2024-10-07 12:42:00,222638.0
2024-10-07 12:43:00,222638.0
2024-10-07 12:49:00,222638.0
2024-10-07 12:50:00,222638.0
2024-10-07 12:51:00,222638.5
2024-10-07 12:52:00,222638.5
2024-10-07 12:54:00,222638.5
2024-10-07 12:55:00,222639.0
2024-10-07 12:56:00,222639.5
2024-10-07 12:57:00,222640.0
2024-10-07 12:58:00,222640.5
2024-10-07 12:59:00,222640.5
2024-10-07 13:00:00,222640.5
2024-10-07 13:01:00,222641.0
2024-10-07 13:02:00,222641.0
2024-10-07 13:03:00,222641.0
2024-10-07 13:04:00,222641.0
2024-10-07 13:16:00,222641.0
2024-10-07 13:17:00,222641.0
2024-10-07 13:18:00,222641.5
2024-10-07 13:19:00,222641.5
2024-10-07 13:20:00,222642.0
2024-10-07 13:21:00,222642.5
2024-10-07 13:22:00,222642.5
2024-10-07 13:23:00,222643.0
2024-10-07 13:24:00,222643.5
2024-10-07 13:25:00,222644.0
2024-10-07 13:26:00,222644.5
2024-10-07 13:27:00,222645.0
2024-10-07 13:28:00,222645.0
2024-10-07 13:29:00,222645.5
2024-10-07 13:30:00,222646.0
2024-10-07 13:31:00,222646.5
2024-10-07 13:32:00,222647.0
2024-10-07 13:33:00,222647.0
2024-10-07 13:34:00,222647.0
2024-10-07 13:35:00,222648.0
2024-10-07 13:36:00,222648.5
2024-10-07 13:37:00,222649.0
2024-10-07 13:38:00,222649.5
2024-10-07 13:39:00,222650.0
2024-10-07 13:40:00,222650.5
2024-10-07 13:41:00,222651.0
2024-10-07 13:42:00,222651.5
2024-10-07 13:43:00,222651.5
2024-10-07 13:44:00,222652.0
2024-10-07 13:45:00,222652.5
2024-10-07 13:46:00,222653.5
2024-10-07 13:47:00,222654.0
2024-10-07 13:48:00,222655.0
2024-10-07 13:49:00,222655.0
2024-10-07 13:50:00,222655.5
2024-10-07 13:51:00,222656.0
2024-10-07 13:52:00,222656.5
2024-10-07 13:53:00,222657.0
2024-10-07 13:54:00,222657.5
2024-10-07 13:55:00,222658.5
2024-10-07 13:56:00,222659.0
2024-10-07 13:57:00,222660.0
2024-10-07 13:58:00,222660.5
2024-10-07 13:59:00,222660.5
2024-10-07 14:00:00,222661.0
2024-10-07 14:01:00,222661.5
2024-10-07 14:02:00,222662.0
2024-10-07 14:03:00,222662.5
2024-10-07 14:04:00,222663.0
2024-10-07 14:05:00,222663.5
2024-10-07 14:06:00,222663.5
2024-10-07 14:07:00,222664.0
2024-10-07 14:08:00,222664.5
2024-10-07 14:09:00,222665.0
2024-10-07 14:10:00,222665.5
2024-10-07 14:11:00,222666.5
2024-10-07 14:12:00,222667.0
2024-10-07 14:13:00,222667.5
2024-10-07 14:14:00,222668.5
2024-10-07 14:15:00,222669.0
2024-10-07 14:16:00,222669.5
2024-10-07 14:17:00,222670.0
2024-10-07 14:18:00,222670.5
2024-10-07 14:19:00,222671.0
2024-10-07 14:20:00,222671.5
2024-10-07 14:21:00,222672.0
2024-10-07 14:22:00,222672.5
2024-10-07 14:23:00,222673.0
2024-10-07 14:24:00,222673.5
2024-10-07 14:25:00,222674.5
2024-10-07 14:26:00,222675.0
2024-10-07 14:27:00,222675.5
2024-10-07 14:28:00,222676.5
2024-10-07 14:29:00,222677.5
